"ID","Wave","Assigned To","Website Page/URL","Section","Content Gap","Priority","Content Needed","Specific Details Required","Existing on Site?","Existing Internally?","Source/Person to Contact","File/URL Available","Asset Type","Public Permission/Clearance","Recommended Website Use","Status","Notes"
"D-06","3 — archive, photography, consent or owner ruling","","/work/projects/influence","The fellows","Ten fellowships a year since 2010 — roughly 150 fellows — and not one is named, no project is described, and no film or case study has been located.","CRITICAL","One specific fact or artefact","For 5-10 featured fellows: name, city/state, fellowship year, the project they ran, one outcome, a portrait, a 50-word update, and written permission. Plus: the length of a fellowship year, which is not stated because nobody has said.","Named as a hole on the page","TO BE COLLECTED / VERIFIED INTERNALLY","Ashim (Programs) / alumni network","No","Text / number / photo","Own material","Closes a hole the page already declares to the reader","NOT STARTED","The largest named-people gap on the site. A fellowship with no fellow on it reads as a line item."
"D-07","2 — one conversation closes it","","/work/projects/influence","50 colleges, 75 partner organisations","Two published counts sit behind the volunteering programme and the page names none of the organisations.","HIGH","One specific fact or artefact","Five college names and five partner-organisation names, WITH permission to list them. Plus a current year on any one of the five volunteering figures, which are all dated to 2010.","Named as a hole on the page","TO BE COLLECTED / VERIFIED INTERNALLY","Ashim (Programs)","No","Text / number / photo","Own material","Closes a hole the page already declares to the reader","NOT STARTED","Turns two counts into a list of collaborators, which is what they are."
"D-08","3 — archive, photography, consent or owner ruling","","/work/projects/me-to-we","Alumni who became staff","The page's strongest claim about the organisation — that alumni are now core team members — names nobody.","CRITICAL","One specific fact or artefact","Two names with their written permission, their story in 60-100 words, and a portrait.","Named as a hole on the page","TO BE COLLECTED / VERIFIED INTERNALLY","Ashim / the alumni themselves","No","Text / number / photo","Own material","Closes a hole the page already declares to the reader","NOT STARTED","The site's own note: 'would turn the strongest claim we make about ourselves into a person a reader can look at.'"
"D-09","3 — archive, photography, consent or owner ruling","","/work/projects/me-to-we","Photographs","Nothing of the riverbank school, nothing of the Jagdamba group, no face on any alumnus. The frame used is of schoolchildren but not of this programme.","CRITICAL","One specific fact or artefact","Any frame from the camp or the riverbank, with consent.","Named as a hole on the page","TO BE COLLECTED / VERIFIED INTERNALLY","Ashim / Vimlendu","No","Text / number / photo","Own material","Closes a hole the page already declares to the reader","NOT STARTED","The site calls this 'the best-written unillustrated thing on the site'."
"D-10","2 — one conversation closes it","","/work/projects/me-to-we, /work/projects (she-leads-change)","Programme boundaries","ME to WE and She Leads Change both run on Jagdamba, both with EMpower, both with girls in the same age group, and the site does not say how they differ. This Girl Can may be a third name for the same work.","HIGH","One specific fact or artefact","One sentence of difference — or a ruling that two or three of them are one programme, which is a shorter and equally good answer.","Named as a hole on the page","TO BE COLLECTED / VERIFIED INTERNALLY","Ashim (Programs)","No","Text / number / photo","Own material","Closes a hole the page already declares to the reader","NOT STARTED",""
"D-11","2 — one conversation closes it","","/work/projects/farm-school","Partners and funders","Nobody is named as a partner or funder. Bridge the Gap names seven funders; this page names none.","HIGH","One specific fact or artefact","The supporter list for Farm School: who paid for what, and in which years.","Named as a hole on the page","TO BE COLLECTED / VERIFIED INTERNALLY","Neeraj / Vimlendu","No","Text / number / photo","Own material","Closes a hole the page already declares to the reader","NOT STARTED",""
"D-12","2 — one conversation closes it","","/work/campaigns/monsoon-wooding","Survival rate","The page publishes '50,000+ trees planted AND SURVIVED' but cannot state a survival rate, because the planted total is not written down anywhere citable. Nor is the interval at which survival is counted.","HIGH","One specific fact or artefact","Two numbers: how many went into the ground, and how long after planting the count is taken.","Named as a hole on the page","TO BE COLLECTED / VERIFIED INTERNALLY","Naveen (Farm) / Ashim","No","Text / number / photo","Own material","Closes a hole the page already declares to the reader","NOT STARTED","With those, the page states a survival rate — a far stronger and rarer claim than a planting total."
"D-13","2 — one conversation closes it","","/work/campaigns/monsoon-wooding","Planting sites","Sites are spread across Delhi and no geo-locations are held, so there is nowhere a reader can go and stand.","MEDIUM","One specific fact or artefact","Coordinates, or even a neighbourhood list, for the seasons that can still be reconstructed.","Named as a hole on the page","TO BE COLLECTED / VERIFIED INTERNALLY","Naveen / Ashim","No","Text / number / photo","Own material","Closes a hole the page already declares to the reader","NOT STARTED","Feeds a 'Where we work' map (see structural recommendation S-04)."
"D-14","2 — one conversation closes it","","/work/journeys/yamuna-yatra","The route","The page is named after a route it cannot draw. Both ends are known (Yamunotri to Agra, ~1,000 km) but the stops between are published nowhere checkable; a ten-stop route on an older draft appears in no verifiable document.","HIGH","One specific fact or artefact","Confirmation of the ten stops.","Named as a hole on the page","TO BE COLLECTED / VERIFIED INTERNALLY","Vimlendu / Naveen","No","Text / number / photo","Own material","Closes a hole the page already declares to the reader","NOT STARTED","Unlocks a route map on the site's flagship journey."
"D-15","2 — one conversation closes it","","/work/journeys/yamuna-yatra","Cohort measurements","Twelve days on a river and not one measurement of it taken by the people who walked it.","MEDIUM","One specific fact or artefact","Any water readings cohorts took, in any year — even a notebook.","Named as a hole on the page","TO BE COLLECTED / VERIFIED INTERNALLY","Ashim / facilitators","No","Text / number / photo","Own material","Closes a hole the page already declares to the reader","NOT STARTED","Would put the river's own numbers beside the walk and connect /work to /now/yamuna, which is the site's whole argument."
"D-16","2 — one conversation closes it","","/work/journeys/gram-anubhav","Host organisations","More than a hundred grassroots organisations host these journeys and not one is named.","HIGH","One specific fact or artefact","Five host organisations named, with permission.","Named as a hole on the page","TO BE COLLECTED / VERIFIED INTERNALLY","Ashim (Programs)","No","Text / number / photo","Own material","Closes a hole the page already declares to the reader","NOT STARTED","The site's own note: 'it is their programme as much as ours.'"
"D-17","2 — one conversation closes it","","/work/journeys/gram-anubhav, /work/journeys/naturescapes","Start year","Both publish '60+ journeys' with no start year, so both are totals rather than rates.","MEDIUM","One specific fact or artefact","One year each.","Named as a hole on the page","TO BE COLLECTED / VERIFIED INTERNALLY","Ashim (Programs)","No","Text / number / photo","Own material","Closes a hole the page already declares to the reader","NOT STARTED","Trivially cheap, and it fixes two figures."
"D-18","2 — one conversation closes it","","/work/journeys/naturescapes","Sariska","Sariska is on the destination list and on nothing else held: no photograph, no account, no journal. A NatureScapes Manual for Sariska exists on the old Resources page.","MEDIUM","One specific fact or artefact","Confirmation that Sariska is still a destination, plus the Sariska manual (Drive ID in the legacy audit).","Named as a hole on the page","TO BE COLLECTED / VERIFIED INTERNALLY","Ashim (Programs)","No","Text / number / photo","Own material","Closes a hole the page already declares to the reader","NOT STARTED",""
"D-19","2 — one conversation closes it","","/work/journeys/cityscapes","Per-walk records","A thousand walks and a hundred thousand people, and the site cannot say which of the six walks people actually ask for. Two of the six walks have no photograph at all.","HIGH","One specific fact or artefact","Any per-walk count; a walk name against each surviving frame; and any photograph of the heritage walk or the restoration park.","Named as a hole on the page","TO BE COLLECTED / VERIFIED INTERNALLY","Ashim (Programs)","No","Text / number / photo","Own material","Closes a hole the page already declares to the reader","NOT STARTED","Thirteen frames catalogued as photographs of these walks were withdrawn as synthetic on 2026-08-22. What is left is real but unlabelled."
"P-01","3 — archive, photography, consent or owner ruling","","Site-wide","Partners and funders","Twenty organisations are named site-wide, all buried inside five item pages. There is no partner page, no logos, no years, no description of any relationship, and no permission record.","HIGH","A partner register","For each of the 20 already named (Bupa Foundation, Acuity Knowledge Partners, Sir Ratan Tata Trust, Nokia Siemens Networks, American Express, National Geographic, Adobe, PVR, Amazon, The American Embassy, EMpower, IndusInd Bank, PwC, S&P Global, UNEP, British Council, The European Union, plus GIZ and IGES from /publications and UNV from a bio): relationship type, project, years, one line, logo file, website, and WRITTEN permission to display the logo.","Names only, no context","PARTIAL — Accounts will hold the grant records","Neeraj (Accounts) / Vimlendu","No logos in repo","Logos + text","PERMISSION REQUIRED PER ORGANISATION — this is the blocking step","See structural recommendation S-02","NOT STARTED","Add a 'Should this be publicly featured?' decision per row before any design work. Some funder relationships are deliberately quiet."
"P-02","1 — already in repo / already public","","Site-wide","Partners — completeness","The funder list is almost certainly incomplete: it was assembled from two pages. Nine annual reports on disk list donors year by year.","HIGH","The full historical funder list","Extract the donor/funder list from each of the 9 annual reports and reconcile into one register with years.","No","YES — inside the reports already in the repo","Neeraj (Accounts)","/docs/reports/*.pdf","Table","Already published inside the reports; display is a separate decision","Feeds S-02","AVAILABLE","Again: the material is already in the repo. This is transcription."
"P-03","3 — archive, photography, consent or owner ruling","","Site-wide","Schools","Bridge the Gap claims 250+ schools over fifteen years and 100-150 every year. FIVE school names appear anywhere on the site (Vasant Valley, Shriram, Pathways World, Modern, and 'The Shriram Schools').","CRITICAL","A school register","Per school: name, city, state, programme, year(s), number of participants, key activity, photos available, permission status. Start with the 20-30 longest-running partner schools rather than attempting 250.","5 names","YES — programme records must exist to run 100-150 schools a year","Ashim (Programs)","No","Table + logos/photos","SCHOOL PERMISSION REQUIRED per institution — many schools will not permit naming","See structural recommendation S-05","NOT STARTED","Do not chase all 250. Twenty named schools with permission is far more convincing than a claim of 250 and a list of five."
"P-04","3 — archive, photography, consent or owner ruling","","/work/projects/bridge-the-gap","Schools — the anchor school","No single school relationship is told as a story anywhere on the site, despite fifteen years of them.","HIGH","One or two anchor-school case studies","One school that has run the curriculum for 5+ years: how it started, what it runs now, what the teachers say, what changed, one named teacher quote with permission, and photographs.","No","LIKELY","Ashim (Programs)","No","Case study + photos + quote","School and teacher permission required","A case study on /work/projects/bridge-the-gap","NOT STARTED","This single asset would close D-02 as well."
"P-05","3 — archive, photography, consent or owner ruling","","Site-wide","Testimonials and voices","Across 35 pages, not one student, teacher, fellow, villager, volunteer or partner is quoted. There is no first-person voice anywhere on the site except the staff bios.","HIGH","8-12 short attributed quotes","Target mix: 2 students, 2 teachers, 2 fellows, 2 village hosts, 1 volunteer, 1 funder. Each: exact words, name, role, place, year, written permission, and a portrait if consented.","No","POSSIBLY — in reports and social media","Ashim / Srija / Anushka","No","Text + portraits","Written consent required for each","Distribute across work pages, /farm and /impact — do NOT build a testimonials page","NOT STARTED","The site's editorial voice is deliberately austere; quotes must be real and specific or they will read worse than the current silence."
"F-01","3 — archive, photography, consent or owner ruling","","/work/journeys/gram-anubhav","Gram Anubhav — any real frame","Sixty journeys run and the page has ZERO genuine photographs. Twelve files filed under it were found to be synthetic and withdrawn — they carry page borders, hands merging into tools, and captions naming states the journey does not go to.","CRITICAL","Photographs","One real frame per activity: shramdaan, a village interaction, a home visit, a cultural evening. Four frames minimum. Uttarakhand, Rajasthan, Gujarat or Himachal.","No / insufficient","TO BE COLLECTED / VERIFIED INTERNALLY","Vimlendu (archive) / Ashim / facilitators","No","Photograph — Landscape, min 2000px on the long edge, EXIF intact","Owner has permitted use of Swechha photographs (ruling W-14, 21 Aug 2026); check for identifiable minors","Replaces a placeholder or an unillustrated section","NOT STARTED","Sixty journeys have been run, so the photographs exist somewhere. What is on file is not them."
"F-02","3 — archive, photography, consent or owner ruling","","/work/journeys/naturescapes","NatureScapes destinations","Every frame on the page is a real Swechha frame and not one is of the six destinations. The only pictures held of those were bought from a stock library and are refused by the build.","CRITICAL","Photographs","One Swechha frame per ecosystem: Sariska, Ranthambore, Mukteshwar/Sirmaur, Jim Corbett, Sunderbans, Jaisalmer. From the 60+ journeys already run.","No / insufficient","TO BE COLLECTED / VERIFIED INTERNALLY","Vimlendu (archive) / Ashim / facilitators","No","Photograph — Landscape, min 2000px on the long edge, EXIF intact","Owner has permitted use of Swechha photographs (ruling W-14, 21 Aug 2026); check for identifiable minors","Replaces a placeholder or an unillustrated section","NOT STARTED","Five stock files are flagged and refused in the catalogue specifically so they cannot be used by accident."
"F-03","3 — archive, photography, consent or owner ruling","","/work/projects/eco-action","Butterfly parks and Vasant Kunj","No photograph of any of 70+ butterfly parks or 20+ herb gardens, and neither the before nor the after of the park that went from 5% to 90% green cover.","CRITICAL","Photographs","Three frames: one butterfly park, one herb garden, and Vasant Kunj THEN and NOW (two frames, same viewpoint if possible).","No / insufficient","TO BE COLLECTED / VERIFIED INTERNALLY","Vimlendu (archive) / Ashim / facilitators","No","Photograph — Landscape, min 2000px on the long edge, EXIF intact","Owner has permitted use of Swechha photographs (ruling W-14, 21 Aug 2026); check for identifiable minors","Replaces a placeholder or an unillustrated section","NOT STARTED","The before/after pair is the highest-value single image asset in this entire audit."
"F-04","3 — archive, photography, consent or owner ruling","","/work/projects/me-to-we","Riverbank school and Jagdamba","Nothing of the 2007 riverbank school at Kudsia Ghat, nothing of the Jagdamba group, no face on the alumni who became staff.","CRITICAL","Photographs","Any frame from the camp or the riverbank, any year, with consent. Plus portraits of the two alumni named under D-08.","No / insufficient","TO BE COLLECTED / VERIFIED INTERNALLY","Vimlendu (archive) / Ashim / facilitators","No","Photograph — Landscape + portraits, min 2000px on the long edge, EXIF intact","Owner has permitted use of Swechha photographs (ruling W-14, 21 Aug 2026); check for identifiable minors","Replaces a placeholder or an unillustrated section","NOT STARTED",""
"F-05","3 — archive, photography, consent or owner ruling","","/work/events (all four)","Events — any photograph","Yamunotsav ran nine times and has no photograph. Cyclothon, Greenathon and Yamuna Shramdaan have none either. The events section is four unillustrated stubs.","CRITICAL","Photographs","ACCESS to the Yamunotsav Drive folder first (it will not currently open). Then 3-5 frames per event.","No / insufficient","TO BE COLLECTED / VERIFIED INTERNALLY","Vimlendu (archive) / Ashim / facilitators","No","Photograph — Landscape, min 2000px on the long edge, EXIF intact","Owner has permitted use of Swechha photographs (ruling W-14, 21 Aug 2026); check for identifiable minors","Replaces a placeholder or an unillustrated section","NOT STARTED","The single highest-value archive unlock on this list. Nine Junes of a river festival."
"F-06","3 — archive, photography, consent or owner ruling","","/","Paper archive strip, 2000-2017","Twenty of the 27 year-cells on the homepage archive strip are placeholder frames. The first eighteen years of the organisation have no image.","CRITICAL","Photographs","One image per year for 2000-2017, plus 2021 and 2024. Photograph, poster, clipping, letter or report cover — anything genuine and datable.","No / insufficient","TO BE COLLECTED / VERIFIED INTERNALLY","Vimlendu (archive) / Ashim / facilitators","No","Photograph — Landscape preferred, min 2000px on the long edge, EXIF intact","Owner has permitted use of Swechha photographs (ruling W-14, 21 Aug 2026); check for identifiable minors","Replaces a placeholder or an unillustrated section","NOT STARTED","See H-03. This and the timeline (H-01) are one collection exercise."
"F-07","3 — archive, photography, consent or owner ruling","","/work/journeys/cityscapes","Heritage walk and restoration park","Two of the six CityScapes walks have no frame at all, and the surviving frames are not labelled by which walk they were taken on.","HIGH","Photographs","One frame each of the heritage walk and the restoration park, plus a walk name against every existing CityScapes frame.","No / insufficient","TO BE COLLECTED / VERIFIED INTERNALLY","Vimlendu (archive) / Ashim / facilitators","No","Photograph — Landscape, min 2000px on the long edge, EXIF intact","Owner has permitted use of Swechha photographs (ruling W-14, 21 Aug 2026); check for identifiable minors","Replaces a placeholder or an unillustrated section","NOT STARTED","Thirteen frames were withdrawn as synthetic on 2026-08-22, which is why the set is thin."
"F-08","3 — archive, photography, consent or owner ruling","","/about","Team and board portraits","Eight staff portraits exist. The eight governing-body members have a `photo_unused` record pointing at old WordPress files, and none is displayed.","MEDIUM","Photographs","Eight board portraits at usable resolution, with each member's consent. The existing sources are 338x232 and too small.","No / insufficient","TO BE COLLECTED / VERIFIED INTERNALLY","Vimlendu (archive) / Ashim / facilitators","No","Photograph — Portrait / square, min 2000px on the long edge, EXIF intact","Owner has permitted use of Swechha photographs (ruling W-14, 21 Aug 2026); check for identifiable minors","Replaces a placeholder or an unillustrated section","NOT STARTED",""
"F-09","3 — archive, photography, consent or owner ruling","","/farm","Farm — the change","/farm opens on 'Nothing grew here' and tells a barren-land-to-food-forest story, but carries no before frame of the barren ground.","HIGH","Photographs","The land before planting (any year), the same viewpoint now, and frames of each named system: nursery, dairy, apiary, vermicompost, hydroponics, mud houses, butterfly garden.","No / insufficient","TO BE COLLECTED / VERIFIED INTERNALLY","Vimlendu (archive) / Ashim / facilitators","No","Photograph — Landscape, min 2000px on the long edge, EXIF intact","Owner has permitted use of Swechha photographs (ruling W-14, 21 Aug 2026); check for identifiable minors","Replaces a placeholder or an unillustrated section","NOT STARTED","A genuine before/after here would do the same work as F-03."
"F-10","3 — archive, photography, consent or owner ruling","","Site-wide","Portrait-orientation frames","The photo library is heavily landscape, and the audit record shows portrait files being placed in letterbox bands and rendering as slivers — a defect that has already shipped once.","MEDIUM","Photographs","When shooting or selecting new frames, deliberately capture some true-landscape wide frames (2400x1600 or wider) for masthead bands. Confirm EXIF orientation is 1, not 6.","No / insufficient","TO BE COLLECTED / VERIFIED INTERNALLY","Vimlendu (archive) / Ashim / facilitators","No","Photograph — Landscape, 3:2 or wider, min 2000px on the long edge, EXIF intact","Owner has permitted use of Swechha photographs (ruling W-14, 21 Aug 2026); check for identifiable minors","Replaces a placeholder or an unillustrated section","NOT STARTED","A prior perf pass shipped seven photos rotated 90 degrees by stripping EXIF orientation without rotating pixels. Any bulk photo intake must apply exif_transpose."
"F-11","3 — archive, photography, consent or owner ruling","","Site-wide","Campaign posters and creatives","Eleven posters by Sandip Paul are on /stories. No campaign poster, banner, placard or creative from any of the eight campaigns is on the site.","MEDIUM","Photographs","Poster and creative scans per campaign, with the designer credited and the year recorded. The 10 GIZ single-use-plastic-alternative infographics are a known set.","No / insufficient","TO BE COLLECTED / VERIFIED INTERNALLY","Vimlendu (archive) / Ashim / facilitators","No","Photograph — Portrait / poster, min 2000px on the long edge, EXIF intact","Owner has permitted use of Swechha photographs (ruling W-14, 21 Aug 2026); check for identifiable minors","Replaces a placeholder or an unillustrated section","NOT STARTED","8 GIZ marine images already sit unused in public/images/giz-marine/."
"F-12","3 — archive, photography, consent or owner ruling","","Site-wide","Press clippings","No newspaper clipping, magazine page or broadcast still appears anywhere on the site.","HIGH","Photographs","Scans of significant press: the 2004 India Today and Outlook features, any Yamuna Yatra coverage, any Yamunotsav coverage. Record publication, date and page.","No / insufficient","TO BE COLLECTED / VERIFIED INTERNALLY","Vimlendu (archive) / Ashim / facilitators","No","Photograph — Portrait / scan, min 2000px on the long edge, EXIF intact","Owner has permitted use of Swechha photographs (ruling W-14, 21 Aug 2026); check for identifiable minors","Replaces a placeholder or an unillustrated section","NOT STARTED","See J-01. The old site's 'In the News' archive was verified to be 59 empty headline shells with no scans — so these must come from the office, not the web."
"K-01","1 — already in repo / already public","","/publications","Field manuals","Six documents on the old Resources page — all Drive-hosted, all public, all uploaded August 2025 — are absent from /publications, which carries three items.","HIGH","Six documents and a ruling on each","NatureScapes Manual (Sirmaur), NatureScapes Manual (Sariska), Yamuna Manual, CineGreen Manual, New Delhi Brochure — Drive IDs are recorded in docs/design/2026-08-22-LEGACY-SITE-CONTENT-AUDIT.md §1.2. The IGES scenario from that list is ALREADY published.","3 of 9","YES — on Google Drive, public","Ashim / Vimlendu","Drive IDs recorded in the legacy audit","PDF","Own material; confirm the manuals are final versions","Add to /publications, and link each manual from the journey page it belongs to","AVAILABLE","AD-26 R-1/R-2 fixed Publications at two items on the evidence then available; a third has since been added. Six more real files exist. This needs a re-ruling, not a hunt."
"K-02","1 — already in repo / already public","","/publications","Annual reports as publications","Nine annual reports sit in public/docs/ and /publications does not list them. See T-01.","CRITICAL","A decision on where reports live","Whether the reports belong on /about (transparency) or /publications (knowledge), or both. Recommend /about, cross-linked from /publications.","No","YES — in the repo","Vimlendu","/docs/reports/*.pdf","PDF","Already public","Resolve alongside T-01","AVAILABLE",""
"K-03","1 — already in repo / already public","","/publications","Accessibility of the scans","Two of the recovered documents are image-only scans with zero embedded fonts — the INFLUENCE Annual Report 2012-13 (24 pages) and the 80G certificate. They are unreadable to a screen reader and unsearchable.","MEDIUM","OCR or a transcribed summary","Run OCR, or write a 150-word summary to sit beside each. For the 80G certificate, a transcription of the registration details is sufficient and arguably better.","Files present, not surfaced","YES","Whoever surfaces T-01","In repo","PDF + text","Own material","Publishing a tax-exemption certificate as an unlabelled image is an accessibility defect, not a neutral choice.","NOT STARTED",""
"K-04","2 — one conversation closes it","","/stories","Written — nothing since August 2023","All five published essays are dated 2022-08 to 2023-08. The site has published no new writing in two years. A sixth recovered essay ('Learning to grow with Swechha', 2018) was not republished.","HIGH","New writing, and a decision on the sixth essay","A publishing cadence and 3-4 new pieces. Best candidates from work already done: the Vasant Kunj decade, the Yamunotsav story, a fellow's project, a Gram Anubhav host's account. Plus: publish or formally drop the 2018 essay.","5 essays, all 2022-23","The 2018 essay text is recoverable","Ashim / Srija / Anushka / Chhavi","Old blog","Text","Own material","Keeps /stories alive; each new essay is also a timeline anchor","NOT STARTED","The essays are the only bylined writing on the site and the byline is what makes them credible. Keep bylines."
"K-05","2 — one conversation closes it","","/stories","Films — two ruled films have no source","Of six ruled films, 'Disposable' returns zero hits across all 148 indexed videos, and 'Yatra' is not a film (only two School Journeys shorts match). Both are named as holes rather than dropped.","MEDIUM","Files or links for the two missing films","A file, a link, or a written confirmation that Disposable is lost. Same for whatever 'Yatra' was meant to be. Vimlendu's bio names 'Tatva' as a fourth film, which appears on one page and has no entry.","Named as holes","POSSIBLY — founder's archive","Vimlendu","No","Video","Own material","Completes the films list on /stories","SEARCHING","Do not print a film count that includes the two unsourced titles."
"K-06","1 — already in repo / already public","","/stories","148 indexed videos, ~8 used","The YouTube channel's full 148-video index is committed to the repo and roughly eight videos are embedded on the site. 140 videos of archive footage are indexed and unused.","MEDIUM","A curation pass over the index","Review data/media/youtube-index.json and identify which videos belong on which work page. Many are titled by journey, event or campaign and would illustrate pages that currently have no photographs.","Indexed, mostly unused","YES — in the repo","Ashim / Anushka","data/media/youtube-index.json","Video embeds","Own channel","Embed relevant videos on the work pages that have no images","AVAILABLE","This is the cheapest way to put moving evidence on the thirteen pageless items — several of them almost certainly have footage in the index."
"J-01","3 — archive, photography, consent or owner ruling","","Site-wide","Media coverage of Swechha — none","There is NO record anywhere on the site of Swechha having been covered by anyone. The six coverage-*.json files measure press attention to the ISSUES (Delhi air, the Yamuna), explicitly never to Swechha. The old site's 'In the News' archive was verified as 59 empty headline shells with no scans.","CRITICAL","A media archive built from scratch","Per item: headline, publication, date, author, URL or scan, topic, and which page it belongs beside. Known anchors to start from: CNN International Be the Change (2007, reported weekly for a year, 6 changemakers worldwide); India Today and Outlook top-25 youth leaders (2004); International Youth Foundation 'Our Time is Now' (2004); UN General Assembly address (2011); NDTV, BBC and CBC broadcasts of the documentaries.","No","POSSIBLY — a physical clippings file","Vimlendu (founder archive) / office at Khirki Extension","No","Scans + links","Copyright: link and cite rather than reproducing article text; a scan thumbnail plus headline and outlet is the safe pattern","See structural recommendation S-03","NOT STARTED","Twenty-six years of an outspoken Delhi environmental organisation and zero press evidence on the site is the largest single credibility gap in this audit."
"J-02","3 — archive, photography, consent or owner ruling","","/about","Media contact","There is a media enquiry mailto on /about, but no press kit, no boilerplate, no logo pack, and no spokesperson listing.","MEDIUM","A small press kit","One-paragraph organisational boilerplate, founding year, registered name, spokesperson names and areas, logo files in usable formats, and 5-10 cleared photographs with captions and credits.","Email link only","PARTIAL — logos exist in public/brand/","Vimlendu / Anushka","public/brand/*.svg","Logos + text + photos","Own material","A press kit block on /about","NOT STARTED","The situation pages are genuinely newsworthy and there is currently no easy path from a journalist to a usable asset."
"J-03","3 — archive, photography, consent or owner ruling","","Site-wide","Broadcast and speaking record","TV appearances, podcasts, panels and speeches exist per the bios but are recorded nowhere as an institutional record.","MEDIUM","A speaking and broadcast list","Per item: event/programme, date, platform, topic, speaker, and a link or recording. The site already indexes podcast videos on its own channel.","No","POSSIBLY","Vimlendu / Anushka","Partly in the YouTube index","Links + video","Third-party platforms — link, do not re-host","Feeds S-03","NOT STARTED",""
"J-04","3 — archive, photography, consent or owner ruling","","/now/*","Situations — Swechha's own advocacy","The six situation pages are the site's strongest asset and each carries a 'What we do about it' section. None of them documents an advocacy action, a submission, a representation or a policy engagement by Swechha on that issue.","HIGH","Advocacy record per situation","Any RTI filed, consultation response, PIL, ministry submission, parliamentary engagement, or official meeting on air, the Yamuna, heat, forest fire, forest loss or extreme rain. Date, addressee, what was asked, what happened.","Work is linked; advocacy is not","TO BE COLLECTED / VERIFIED INTERNALLY","Vimlendu / Kuriakose Varghese (board, lawyer)","No","Documents + text","Check whether any submission is confidential","Connects the measurement pages to the organisation that made them","NOT STARTED","The situation pages currently prove Swechha can MEASURE. Nothing on them proves Swechha has ever ACTED on a measurement, which is the obvious next question a reader asks."
"N-01","2 — one conversation closes it","","/","Homepage figures not in the register","The homepage's 'Swechha's own record' band shows four numbers and links to '/impact — The whole record'. Two of the four — 6,890 tonnes 'Out of the Yamuna' and '100+ green infrastructures across 100+ schools' — do not appear in /impact's register or anywhere in data/work.","CRITICAL","Source both figures, or withdraw them","For 6,890t: what was weighed, over what period, by whom, and where it is recorded. For 100+ green infrastructures / 100+ schools: definition of a 'green infrastructure', the period, and how it relates to Eco Action's 70+ parks and 20+ gardens.","On the homepage only","TO BE COLLECTED / VERIFIED INTERNALLY","Ashim / Vimlendu","No","Numbers + source","Own material","Either enter them into data/work so /impact resolves them, or remove them from the homepage","NEEDS VERIFICATION","This is the exact defect class the /impact architecture was built to prevent — it simply does not cover the hand-built homepage. Two of four numbers under the words 'the whole record' are not in the record."
"N-02","2 — one conversation closes it","","Site-wide","Figures with no start year","Nine of the 33 published figures carry the period 'cumulative, no start year sourced', which makes each a total rather than a rate.","HIGH","Nine start years","Start years for: Eco Action butterfly parks, Eco Action herb gardens, Farm School composting, Farm School honey, Monsoon Wooding cumulative trees, Gram Anubhav journeys, Gram Anubhav grassroots partners, NatureScapes journeys, and She Leads Change's 'Learning Communities cohort' period.","Published with the gap named","TO BE COLLECTED / VERIFIED INTERNALLY","Ashim (Programs)","No","Numbers","Own material","Turns nine totals into nine rates","NOT STARTED","Cheapest high-value row in the audit: nine facts, one conversation, nine figures upgraded."
"N-03","2 — one conversation closes it","","/impact","Metrics the site does not publish","The register carries 33 figures, all of them reach counts. No cost-per-participant, no repeat-engagement rate, no retention, no survival rate, no completion rate, no gender or income breakdown.","MEDIUM","A decision on which effect metrics can honestly be published","Candidates already implied by the site's own holes: tree survival rate (D-12), what changed in one school (D-02), fellows' project outcomes (D-06), per-walk demand (D-19), teacher-training numbers (M-02).","No","Partially derivable","Ashim / Neeraj","No","Numbers","Own material","Would move /impact from reach to effect, which is what the page's own copy says it wants","NOT STARTED",""
"N-04","1 — already in repo / already public","","/impact","Contaminated legacy counters — do not reuse","Four old project pages were unfinished templates with lorem-ipsum bodies sharing one counter set (2740/4751/1260/9385). That set contaminated two otherwise real pages: 'learning-communities' ends in 9385 'Campaigns' and 'soil-regeneration-training' ends in 9385 'Rural Youth Engaged'.","HIGH","A standing instruction, not a collection","When porting old project prose (M-01 to M-10), port the PROSE and treat every legacy counter as an unsourced claim. Known contradictions on the old site: Yamuna Yatra prose 2000 vs counter 3000; Monsoon Wooding 50,000 vs 55,000; Bee Keepers 500 kg vs 600 litres; Bridge the Gap 250 schools/50,000 students vs 257/45,000/300,000; and eco-action vs green-action-in-schools are the same programme with different numbers.","N/A","N/A","N/A","docs/design/2026-08-22-LEGACY-SITE-CONTENT-AUDIT.md §3","Guidance","N/A","Guardrail for every M-row above","READY FOR WEBSITE","Record this in the collection sheet so a well-meaning volunteer does not type 9,385 into a data file."
"R-01","2 — one conversation closes it","","/farm","Programmes at the farm","/farm describes a place and five visit formats. The five farm training programmes that redirect to it (M-08) are described nowhere, so the farm reads as a venue rather than a training centre.","HIGH","See M-08","As M-08.","Partially","YES","Naveen (Farm Manager) / Ashim","No","Text + photos","Own material","A 'What runs here' section on /farm","NOT STARTED",""
