"Sheet","Row ID","ID","Wave","Assigned To","Website Page/URL","Section","Content Gap","Priority","Content Needed","Specific Details Required","Existing on Site?","Existing Internally?","Source/Person to Contact","File/URL Available","Asset Type","Public Permission/Clearance","Recommended Website Use","Status","Notes","Project Name","Kind","Year Started","Year Ended/Ongoing","Location","Theme","Short Description","Key Numbers","Partners","Funder","Available Photos","Available Report","Available Video","Available Media Coverage","Website Status","Missing Information","Source","Organisation","Type of Partner","Project/Campaign","Year(s)","Nature of Association","Logo Available","Permission to Display","Existing Website Mention","Missing Content","Should this be publicly featured?","Institution Name","City","State","Programme/Project","Year","Number of Students/Participants","Key Activity","Photos Available","Permission Available","Website Use Recommendation","Metric","Current Number on Website","Correct/Verified Number?","Year/Period","Source of Data","Supporting Document","Needs Updating?","Website Page(s) Using It","Asset Needed","Related Project/Page","Description","Approximate Year","Preferred Orientation","Minimum Quality Needed","Source/Photographer","File Available?","Rights/Credit Confirmed?","Alt text (REQUIRED - build refuses a frame without it)","Credit line (REQUIRED - e.g. 'Swechha archive')","Genuine photograph? (confirm - 25 synthetic frames were withdrawn on 22 Aug)","Link to file (Drive/Dropbox) or filename once supplied","Title","Type","Date","Author/Speaker","Publication/Platform","Topic","URL/File","Relevant Swechha Page","Permission/Copyright Status","Recommended Use","File","Alt text (already written)","Credit","Tags","Pixels","Rendering note","Used on which built pages","Usable?"
"01 · Master sheet","K-02","K-02","1 — already in repo / already public","","/publications","Annual reports as publications","Nine annual reports sit in public/docs/ and /publications does not list them. See T-01.","CRITICAL","A decision on where reports live","Whether the reports belong on /about (transparency) or /publications (knowledge), or both. Recommend /about, cross-linked from /publications.","No","YES — in the repo","Vimlendu","/docs/reports/*.pdf","PDF","Already public","Resolve alongside T-01","AVAILABLE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","K-03","K-03","1 — already in repo / already public","","/publications","Accessibility of the scans","Two of the recovered documents are image-only scans with zero embedded fonts — the INFLUENCE Annual Report 2012-13 (24 pages) and the 80G certificate. They are unreadable to a screen reader and unsearchable.","MEDIUM","OCR or a transcribed summary","Run OCR, or write a 150-word summary to sit beside each. For the 80G certificate, a transcription of the registration details is sufficient and arguably better.","Files present, not surfaced","YES","Whoever surfaces T-01","In repo","PDF + text","Own material","Publishing a tax-exemption certificate as an unlabelled image is an accessibility defect, not a neutral choice.","NOT STARTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","K-04","K-04","2 — one conversation closes it","","/stories","Written — nothing since August 2023","All five published essays are dated 2022-08 to 2023-08. The site has published no new writing in two years. A sixth recovered essay ('Learning to grow with Swechha', 2018) was not republished.","HIGH","New writing, and a decision on the sixth essay","A publishing cadence and 3-4 new pieces. Best candidates from work already done: the Vasant Kunj decade, the Yamunotsav story, a fellow's project, a Gram Anubhav host's account. Plus: publish or formally drop the 2018 essay.","5 essays, all 2022-23","The 2018 essay text is recoverable","Ashim / Srija / Anushka / Chhavi","Old blog","Text","Own material","Keeps /stories alive; each new essay is also a timeline anchor","NOT STARTED","The essays are the only bylined writing on the site and the byline is what makes them credible. Keep bylines.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","K-05","K-05","2 — one conversation closes it","","/stories","Films — two ruled films have no source","Of six ruled films, 'Disposable' returns zero hits across all 148 indexed videos, and 'Yatra' is not a film (only two School Journeys shorts match). Both are named as holes rather than dropped.","MEDIUM","Files or links for the two missing films","A file, a link, or a written confirmation that Disposable is lost. Same for whatever 'Yatra' was meant to be. Vimlendu's bio names 'Tatva' as a fourth film, which appears on one page and has no entry.","Named as holes","POSSIBLY — founder's archive","Vimlendu","No","Video","Own material","Completes the films list on /stories","SEARCHING","Do not print a film count that includes the two unsourced titles.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","K-06","K-06","1 — already in repo / already public","","/stories","148 indexed videos, ~8 used","The YouTube channel's full 148-video index is committed to the repo and roughly eight videos are embedded on the site. 140 videos of archive footage are indexed and unused.","MEDIUM","A curation pass over the index","Review data/media/youtube-index.json and identify which videos belong on which work page. Many are titled by journey, event or campaign and would illustrate pages that currently have no photographs.","Indexed, mostly unused","YES — in the repo","Ashim / Anushka","data/media/youtube-index.json","Video embeds","Own channel","Embed relevant videos on the work pages that have no images","AVAILABLE","This is the cheapest way to put moving evidence on the thirteen pageless items — several of them almost certainly have footage in the index.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","J-01","J-01","3 — archive, photography, consent or owner ruling","","Site-wide","Media coverage of Swechha — none","There is NO record anywhere on the site of Swechha having been covered by anyone. The six coverage-*.json files measure press attention to the ISSUES (Delhi air, the Yamuna), explicitly never to Swechha. The old site's 'In the News' archive was verified as 59 empty headline shells with no scans.","CRITICAL","A media archive built from scratch","Per item: headline, publication, date, author, URL or scan, topic, and which page it belongs beside. Known anchors to start from: CNN International Be the Change (2007, reported weekly for a year, 6 changemakers worldwide); India Today and Outlook top-25 youth leaders (2004); International Youth Foundation 'Our Time is Now' (2004); UN General Assembly address (2011); NDTV, BBC and CBC broadcasts of the documentaries.","No","POSSIBLY — a physical clippings file","Vimlendu (founder archive) / office at Khirki Extension","No","Scans + links","Copyright: link and cite rather than reproducing article text; a scan thumbnail plus headline and outlet is the safe pattern","See structural recommendation S-03","NOT STARTED","Twenty-six years of an outspoken Delhi environmental organisation and zero press evidence on the site is the largest single credibility gap in this audit.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","J-02","J-02","3 — archive, photography, consent or owner ruling","","/about","Media contact","There is a media enquiry mailto on /about, but no press kit, no boilerplate, no logo pack, and no spokesperson listing.","MEDIUM","A small press kit","One-paragraph organisational boilerplate, founding year, registered name, spokesperson names and areas, logo files in usable formats, and 5-10 cleared photographs with captions and credits.","Email link only","PARTIAL — logos exist in public/brand/","Vimlendu / Anushka","public/brand/*.svg","Logos + text + photos","Own material","A press kit block on /about","NOT STARTED","The situation pages are genuinely newsworthy and there is currently no easy path from a journalist to a usable asset.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","J-03","J-03","3 — archive, photography, consent or owner ruling","","Site-wide","Broadcast and speaking record","TV appearances, podcasts, panels and speeches exist per the bios but are recorded nowhere as an institutional record.","MEDIUM","A speaking and broadcast list","Per item: event/programme, date, platform, topic, speaker, and a link or recording. The site already indexes podcast videos on its own channel.","No","POSSIBLY","Vimlendu / Anushka","Partly in the YouTube index","Links + video","Third-party platforms — link, do not re-host","Feeds S-03","NOT STARTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","J-04","J-04","3 — archive, photography, consent or owner ruling","","/now/*","Situations — Swechha's own advocacy","The six situation pages are the site's strongest asset and each carries a 'What we do about it' section. None of them documents an advocacy action, a submission, a representation or a policy engagement by Swechha on that issue.","HIGH","Advocacy record per situation","Any RTI filed, consultation response, PIL, ministry submission, parliamentary engagement, or official meeting on air, the Yamuna, heat, forest fire, forest loss or extreme rain. Date, addressee, what was asked, what happened.","Work is linked; advocacy is not","TO BE COLLECTED / VERIFIED INTERNALLY","Vimlendu / Kuriakose Varghese (board, lawyer)","No","Documents + text","Check whether any submission is confidential","Connects the measurement pages to the organisation that made them","NOT STARTED","The situation pages currently prove Swechha can MEASURE. Nothing on them proves Swechha has ever ACTED on a measurement, which is the obvious next question a reader asks.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","N-01","N-01","2 — one conversation closes it","","/","Homepage figures not in the register","The homepage's 'Swechha's own record' band shows four numbers and links to '/impact — The whole record'. Two of the four — 6,890 tonnes 'Out of the Yamuna' and '100+ green infrastructures across 100+ schools' — do not appear in /impact's register or anywhere in data/work.","CRITICAL","Source both figures, or withdraw them","For 6,890t: what was weighed, over what period, by whom, and where it is recorded. For 100+ green infrastructures / 100+ schools: definition of a 'green infrastructure', the period, and how it relates to Eco Action's 70+ parks and 20+ gardens.","On the homepage only","TO BE COLLECTED / VERIFIED INTERNALLY","Ashim / Vimlendu","No","Numbers + source","Own material","Either enter them into data/work so /impact resolves them, or remove them from the homepage","NEEDS VERIFICATION","This is the exact defect class the /impact architecture was built to prevent — it simply does not cover the hand-built homepage. Two of four numbers under the words 'the whole record' are not in the record.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","N-02","N-02","2 — one conversation closes it","","Site-wide","Figures with no start year","Nine of the 33 published figures carry the period 'cumulative, no start year sourced', which makes each a total rather than a rate.","HIGH","Nine start years","Start years for: Eco Action butterfly parks, Eco Action herb gardens, Farm School composting, Farm School honey, Monsoon Wooding cumulative trees, Gram Anubhav journeys, Gram Anubhav grassroots partners, NatureScapes journeys, and She Leads Change's 'Learning Communities cohort' period.","Published with the gap named","TO BE COLLECTED / VERIFIED INTERNALLY","Ashim (Programs)","No","Numbers","Own material","Turns nine totals into nine rates","NOT STARTED","Cheapest high-value row in the audit: nine facts, one conversation, nine figures upgraded.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","N-03","N-03","2 — one conversation closes it","","/impact","Metrics the site does not publish","The register carries 33 figures, all of them reach counts. No cost-per-participant, no repeat-engagement rate, no retention, no survival rate, no completion rate, no gender or income breakdown.","MEDIUM","A decision on which effect metrics can honestly be published","Candidates already implied by the site's own holes: tree survival rate (D-12), what changed in one school (D-02), fellows' project outcomes (D-06), per-walk demand (D-19), teacher-training numbers (M-02).","No","Partially derivable","Ashim / Neeraj","No","Numbers","Own material","Would move /impact from reach to effect, which is what the page's own copy says it wants","NOT STARTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","N-04","N-04","1 — already in repo / already public","","/impact","Contaminated legacy counters — do not reuse","Four old project pages were unfinished templates with lorem-ipsum bodies sharing one counter set (2740/4751/1260/9385). That set contaminated two otherwise real pages: 'learning-communities' ends in 9385 'Campaigns' and 'soil-regeneration-training' ends in 9385 'Rural Youth Engaged'.","HIGH","A standing instruction, not a collection","When porting old project prose (M-01 to M-10), port the PROSE and treat every legacy counter as an unsourced claim. Known contradictions on the old site: Yamuna Yatra prose 2000 vs counter 3000; Monsoon Wooding 50,000 vs 55,000; Bee Keepers 500 kg vs 600 litres; Bridge the Gap 250 schools/50,000 students vs 257/45,000/300,000; and eco-action vs green-action-in-schools are the same programme with different numbers.","N/A","N/A","N/A","docs/design/2026-08-22-LEGACY-SITE-CONTENT-AUDIT.md §3","Guidance","N/A","Guardrail for every M-row above","READY FOR WEBSITE","Record this in the collection sheet so a well-meaning volunteer does not type 9,385 into a data file.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","R-01","R-01","2 — one conversation closes it","","/farm","Programmes at the farm","/farm describes a place and five visit formats. The five farm training programmes that redirect to it (M-08) are described nowhere, so the farm reads as a venue rather than a training centre.","HIGH","See M-08","As M-08.","Partially","YES","Naveen (Farm Manager) / Ashim","No","Text + photos","Own material","A 'What runs here' section on /farm","NOT STARTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","R-02","R-02","3 — archive, photography, consent or owner ruling","","/farm","Built by Mewat","The page has a section titled 'Built by Mewat' and the farm was built with local labour, but no Mewat worker, family or village is named, quoted or photographed.","HIGH","Names, permission and portraits","Two or three people from the local community who built or work the farm: name, village, what they do, one quote, a portrait. With consent.","Section exists, unpeopled","TO BE COLLECTED","Naveen (Farm Manager)","No","Text + portraits","Written consent required","Puts people in the section already titled after them","NOT STARTED","A section named 'Built by Mewat' that names nobody from Mewat is the clearest example on the site of a good idea waiting for content.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","R-03","R-03","3 — archive, photography, consent or owner ruling","","/farm","Visitor evidence","Farm School publishes '30 school groups a year' and /farm offers five visit formats, but no visiting school is named, no visit is described from a visitor's side, and there is no testimonial.","HIGH","Two visit accounts","One school day-visit and one overnight camp, told from the school's side, with a named teacher quote and photographs. With permission.","No","LIKELY","Naveen / Ashim","No","Text + quote + photos","School permission required","On /farm and /work/projects/farm-school","NOT STARTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","R-04","R-04","2 — one conversation closes it","","/farm","Practicalities","The page says the farm is 90 minutes from Delhi and can sleep 100 students, and says 'It is not a hotel'. It does not state costs, seasons, capacity limits, accessibility, or what a school must bring.","MEDIUM","Booking practicalities","Indicative cost or cost basis, best months, group size limits, accessibility, safeguarding arrangements for overnight stays with minors, and what a school needs to bring.","Partially","YES","Naveen (Farm Manager)","No","Text","Own material","Completes 'It is not a hotel' and 'Come and see'","NOT STARTED","A school booking an overnight stay for minors will ask about safeguarding before anything else — see T-07.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","R-05","R-05","3 — archive, photography, consent or owner ruling","","/farm","Location and how to get there","The farm is described as 'an hour and a half from Delhi' and 'Built by Mewat' but the page carries no map, no address and no directions.","MEDIUM","Location detail and a map","Nearest town, approximate address or pin, how to reach it by road and rail, and whether the location may be published.","Distance only","YES","Naveen / Vimlendu","No","Map + text","OWNER DECISION — whether to publish a precise location","A map on /farm; also feeds S-04","NOT STARTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","X-01","X-01","1 — already in repo / already public","","/explore","Orphan page live in production","https://swechha.in/explore returns 200 and serves the PRE-DESIGN Tailwind scaffold: the old navigation (with 'Donate', 'Projects', 'Campaigns' as nav words that no longer exist), an old newsletter form, and three empty states reading 'nothing published yet' and 'No films published yet'. It is not in the sitemap but it is NOT disallowed in robots.txt, so it is crawlable and indexable.","CRITICAL","No content — a routing decision","Either redirect /explore to /stories, or delete the route. It should not be reachable in its current state.","Yes — live and wrong","N/A","Engineering","N/A","Route","N/A","Remove or redirect","NOT STARTED","This is the only page on the live site that shows a visitor an empty state, and it also contradicts the site's own navigation. Fixing it is a five-minute change.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","X-02","X-02","1 — already in repo / already public","","/","Duplicate destination in 'The record'","Two of the three record doors on the homepage — 'Today's readings' and 'Where the readings come from' — both link to /now. The third has no link at all (H-04).","MEDIUM","A routing decision","Either give 'Where the readings come from' its own sources page, or merge the two doors.","Yes — live","N/A","Engineering / Vimlendu","N/A","Route","N/A","Fix alongside H-04","NOT STARTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","X-03","X-03","1 — already in repo / already public","","/keystatic","CMS reachable in production","https://swechha.in/keystatic returns 200. It is correctly noindexed and disallowed, but the editor route is publicly reachable on the production domain.","MEDIUM","No content — a security review","Confirm the Keystatic route is either authenticated or not deployed to production.","Yes","N/A","Engineering","N/A","Route","N/A","Out of scope for content, recorded because it was found","NOT STARTED","Noted for completeness. Not a content gap.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","X-04","X-04","1 — already in repo / already public","","Site-wide","Newsletter capture is missing from the institutional pages","The email digest form appears on the six situation pages, /now and /stories. It does NOT appear on /about, /work, /impact, /act, /farm or /publications — including /act, which is the page eighteen others point at.","MEDIUM","No content — a placement decision","Decide whether the digest belongs on the institutional pages, particularly /act.","Partially","N/A","Vimlendu / Engineering","N/A","Component","N/A","Add to /act at minimum","NOT STARTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","X-05","X-05","3 — archive, photography, consent or owner ruling","","Site-wide","Contact information","The only contact points on the site are mailto links (swechhaindia@gmail.com and vimlendu@swechha.in). There is no address block and no phone number — ruling G-4 struck the phone number. The old site published R-84 Khirki Extension, Malviya Nagar, New Delhi 110017 and three different phone numbers.","HIGH","One decision on contact details","Confirm the postal address for publication, and settle the phone question — the old site had three live numbers (011-41009320, 011-29544678, +91-9811812788). Also: whether a generic gmail address should be the organisation's primary published contact.","Email only","YES","Vimlendu (owner ruling)","N/A","Text","OWNER RULING REQUIRED","A contact block in the footer or on /about","NOT STARTED","An organisation with 80G/FCRA status whose only published contact is a gmail address undercuts the transparency work in T-01 to T-04.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02 · Projects","02-001","","","","","","","","","","","","","","","","","","","Bridge the Gap","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","A module-based curriculum on land, water and air — five to sixteen sessions, plus exposure trips and action projects.","3M+ Children and young people reached (cumulative, since 2000) | 100–150 Schools in Delhi (every year) | 50,000+ Students through the curriculum (over fifteen years) | 250+ Schools in Delhi NCR (over fifteen years) | 200+ Schools on year-long curricula (in 2019–20)","TO COLLECT","Bupa Foundation, Acuity Knowledge Partners, Sir Ratan Tata Trust, Nokia Siemens Networks, American Express, National Geographic, Adobe","4 in gallery","TO COLLECT","TO COLLECT","NONE ON SITE","Detail page","Four figures that used to sit on this page — twenty-five thousand children, eighty-five schools, twelve hundred mentors, twelve cities — are withdrawn. Not one of them could be traced to any record we hold, and they were captioned as verified by us. || The three million is a derivation, not a register: schools a year, times years, times the children in a school. The middle term — how many children a school has — is not written down anywhere we can cite, so the figure carries the method instead of a source document. That is also the difference between this figure and the twenty-five thousand wi","data/work/projects/bridge-the-gap.json","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02 · Projects","02-002","","","","","","","","","","","","","","","","","","","Eco Action","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Over 70 butterfly parks and over 20 herb gardens across Delhi NCR.","70+ Butterfly parks across Delhi NCR (cumulative, no start year sourced) | 20+ Herb gardens across Delhi NCR (cumulative, no start year sourced) | 5% → 90% Green cover in one Vasant Kunj park (over a decade)","TO COLLECT","PVR, American Express, Adobe, Amazon, The American Embassy","5 in gallery","TO COLLECT","TO COLLECT","NONE ON SITE","Detail page","The photograph above is a planting site of ours, not one of these gardens. Not one butterfly park, not one herb garden, and neither the before nor the after of the park that went from five per cent to ninety. || The count here is over seventy. Elsewhere on our own site it has been seventy-eight. We have published the figure we can stand behind rather than the one that flatters us. || We do not name which park in Vasant Kunj, or say when its decade started.","data/work/projects/eco-action.json","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02 · Projects","02-003","","","","","","","","","","","","","","","","","","","Farm School","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","A learning lab on five acres. Day visits, short courses, internships and stays.","30 School groups a year (annual, current) | 5,000 kg Dead leaves composted into soil on site (cumulative, no start year sourced) | 500 kg Honey from the apiary (cumulative, no start year sourced)","TO COLLECT","TO COLLECT","5 in gallery","TO COLLECT","TO COLLECT","NONE ON SITE","Detail page","Nobody is named as a partner or a funder here.","data/work/projects/farm-school.json","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02 · Projects","02-004","","","","","","","","","","","","","","","","","","","Food systems, with UNEP","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Curriculum and action projects on food and sustainability, in Delhi NCR government schools.","TO COLLECT","UNEP","TO COLLECT","NONE","TO COLLECT","TO COLLECT","NONE ON SITE","INDEX CARD ONLY — no page","Has it started? Our own sentence about this project is in the future tense, and it sits under a heading that reads What is running. || UNEP's role is not stated: funder, technical partner, or co-designer. || No first deliverable is named and nothing is dated.","data/work/projects/food-systems.json","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02 · Projects","02-005","","","","","","","","","","","","","","","","","","","Influence","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Volunteering and a fellowship, nationwide. Ten thousand volunteers a year, and over 300 youth groups.","10 Fellowships (each year) | 10,000 Volunteers, annually (since 2010) | 50 Colleges (since 2010) | 200 Placements (since 2010) | 75 Partner organisations (since 2010) | 300+ Youth groups in the CYON network (since 2010)","TO COLLECT","TO COLLECT","4 in gallery","TO COLLECT","TO COLLECT","NONE ON SITE","Detail page","There may be films and case studies of the fellows' projects. We have not put our hands on them, so this page counts fellowships instead of showing one. || The volunteering figures are dated to the year the programme started. We cannot say which of them is still true. || How long a fellowship runs is not stated here, because we have not been told. || Fifty colleges and seventy-five partner organisations sit behind the volunteering half, and this page names none of them.","data/work/projects/influence.json","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02 · Projects","02-006","","","","","","","","","","","","","","","","","","","ME to WE","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Over 3,000 girls and boys in thirteen years. Over 200 came back as peer leaders.","3,000+ Girls and boys through the programme (over thirteen years) | 200+ Alumni who came back as peer leaders (over thirteen years) | 400+ Young people through job-exposure camps (since 2019)","TO COLLECT","EMpower","4 in gallery","TO COLLECT","TO COLLECT","NONE ON SITE","Detail page","The photograph above is one of ours and it is of schoolchildren, but it is not of this. Nothing of the riverbank school, nothing of the Jagdamba group, and no face on the alumni who became staff. || We say some alumni are now core team members and we name none of them. || ME to WE and She Leads Change both sit on Jagdamba and both run with EMpower. This page does not yet say how they differ.","data/work/projects/me-to-we.json","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02 · Projects","02-007","","","","","","","","","","","","","","","","","","","She Leads Change","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","With EMpower: over 50 adolescent girls from Jagdamba, on agency and decision-making, since 2017.","50+ Adolescent girls through the year-long journey (since 2017) | 300 Girls in the wider Learning Communities cohort (period not sourced) | 57 Girls recognised by the ELC Bright Promise Award (in 2018)","EMpower","EMpower","NONE","TO COLLECT","TO COLLECT","NONE ON SITE","INDEX CARD ONLY — no page","We know the award and how many girls were in it. We do not know what the 2018 ELC Bright Promise Award was given for. || We can say how many girls have been through this since 2017. We cannot say how many are in it now. || This runs on the same settlement, with the same partner, in the same age group as ME to WE, and we have not said how the two differ.","data/work/projects/she-leads-change.json","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02 · Projects","02-008","","","","","","","","","","","","","","","","","","","Delhi I Can't See You","Campaign","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Our campaign on Delhi's air.","TO COLLECT","TO COLLECT","TO COLLECT","NONE","TO COLLECT","TO COLLECT","NONE ON SITE","INDEX CARD ONLY — no page","This is a name and nothing else: no start date, no demand, no action we can name. The air situation page already tells readers it is Swechha's campaign on Delhi's air, and the line above this one says so too — so the name is doing work the content cannot back. || There is no photograph, because there is not yet an it.","data/work/campaigns/delhi-i-cant-see-you.json","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02 · Projects","02-009","","","","","","","","","","","","","","","","","","","Monsoon Wooding","Campaign","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","About 5,000 trees a year in Delhi NCR. Over 50,000 planted and survived.","~5,000 Trees planted in Delhi NCR (each year) | 50,000+ Trees planted and survived (cumulative, no start year sourced)","TO COLLECT","IndusInd Bank, PwC, Amazon, Adobe, S&P Global","3 in gallery","TO COLLECT","TO COLLECT","NONE ON SITE","Detail page","We count survivors against what was planted, so a rate exists — but we cannot publish one here, because the planted total behind the fifty thousand is not written down anywhere we can cite. || How long after planting the count is taken is not recorded, and it is the difference between a sapling that made it and one that had not died yet. || The sites are spread across Delhi and we hold no geo locations for them, so there is nowhere on this page a reader can go and stand.","data/work/campaigns/monsoon-wooding.json","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02 · Projects","02-010","","","","","","","","","","","","","","","","","","","No more Waste Hills","Campaign","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Against the landfill mountains Delhi built for itself.","TO COLLECT","TO COLLECT","TO COLLECT","NONE","TO COLLECT","TO COLLECT","NONE ON SITE","INDEX CARD ONLY — no page","We name the target and nothing else: no year, no landfill, no demand, no outcome. || A CityScapes walk goes to a landfill edge and we hold a photograph of it. This campaign has no photograph and no stated link to that walk.","data/work/campaigns/no-more-waste-hills.json","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02 · Projects","02-011","","","","","","","","","","","","","","","","","","","No Plastic","Campaign","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Against plastic. The name is the whole demand.","TO COLLECT","TO COLLECT","TO COLLECT","NONE","TO COLLECT","TO COLLECT","NONE ON SITE","INDEX CARD ONLY — no page","A demand this clear should have a record behind it, and we hold none: no year, no target, no outcome. || We do not say whether this is about a ban, a substitution, or a shop. Those are three different campaigns.","data/work/campaigns/no-plastic.json","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02 · Projects","02-012","","","","","","","","","","","","","","","","","","","Park Restoration","Campaign","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Bringing city parks back.","TO COLLECT","TO COLLECT","TO COLLECT","NONE","TO COLLECT","TO COLLECT","NONE ON SITE","INDEX CARD ONLY — no page","Eco Action holds the park figures: over seventy butterfly parks, over twenty herb gardens, and the Vasant Kunj decade. This campaign holds none of them, and we will not move a number onto a page it was not measured for. || No date, no site list and no demand.","data/work/campaigns/park-restoration.json","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
